Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
7.84,562637,768,15194,-708001,-2291582,-7756051,-948077,-7104129,549501,-425718,316305,604932,339097,7.75,516102,770,173055.5,173436.625,173817.75,174198.875,174580,174961.125,175342.25,175723.375,176104.5,176485.625,176866.75
7.84,535041,768,-10659,-733409,-2301052,-2146959616,-965395,-7104915,536450,-451083,293093,581411,333345,7.76,550960,770,184674.8267,185055.9467,185437.0667,185818.1867,186199.3067,186580.4267,186961.5467,187342.6667,187723.7867,188104.9067,188486.0267
7.84,271968,768,-176320,-957337,-2584296,-8060452,-1250169,-7420741,479926,-693532,31896,465086,315998,7.76,530997,770,178020.4933,178401.6133,178782.7333,179163.8533,179544.9733,179926.0933,180307.2133,180688.3333,181069.4533,181450.5733,181831.6933
7.84,130641,768,-254706,-1075227,-2760769,-8254631,-1418417,-7629651,461590,-824516,-112602,424073,313688,7.76,267137,770,90067.16,90448.28,90829.4,91210.52,91591.64,91972.76,92353.88,92735,93116.12,93497.24,93878.36
7.84,100804,768,-267951,-1098870,-2818031,-8321049,-1467967,-7703240,462354,-858186,-145898,423804,315729,7.76,125862,770,42975.49333,43356.61333,43737.73333,44118.85333,44499.97333,44881.09333,45262.21333,45643.33333,46024.45333,46405.57333,46786.69333
7.85,55549,768,-294653,-1135266,-2879300,-8388822,-1523767,-7778744,456263,-898276,-190040,409825,314336,7.76,90931,770,31331.82667,31712.94667,32094.06667,32475.18667,32856.30667,33237.42667,33618.54667,33999.66667,34380.78667,34761.90667,35143.02667
7.85,50765,768,-297305,-1146565,-2909717,-8429262,-1549417,-7828240,461252,-908231,-202241,417286,317468,7.77,45318,770,16127.48667,16508.60167,16889.71667,17270.83167,17651.94667,18033.06167,18414.17667,18795.29167,19176.40667,19557.52167,19938.63667
7.85,308043,768,-130424,-922229,-2637261,-8144195,-1272321,-7529602,520752,-669503,56643,535356,336684,7.77,33718,770,12260.82,12641.935,13023.05,13404.165,13785.28,14166.395,14547.51,14928.625,15309.74,15690.855,16071.97
7.85,521940,768,-6006,-743953,-2387491,-7875349,-1029705,-7242503,555794,-470880,268675,610916,344719,7.77,289005,770,97356.48667,97737.60167,98118.71667,98499.83167,98880.94667,99262.06167,99643.17667,100024.2917,100405.4067,100786.5217,101167.6367
7.85,538146,768,-3109,-731735,-2347044,-7823373,-996079,-7183170,548945,-457114,287427,600898,340015,7.77,506224,770,169762.82,170143.935,170525.05,170906.165,171287.28,171668.395,172049.51,172430.625,172811.74,173192.855,173573.97
